Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_receipts_sum,continent
ST.INT.RCPT.CD,Romania,ROU,394000000.00,419000000.00,400000000.00,523000000.00,607000000.00,1324000000.00,1675000000.00,2073000000.00,2626000000.00,1688000000.00,1631000000.00,2016000000.00,1904000000.00,2307000000.00,2388000000.00,2229000000.00,2474000000.00,3553000000.00,3879000000.00,4240000000.00,1611000000.00,39961000000.00,Europe
ST.INT.RCPT.CD,Russia,RUS,,4726000000.00,5278000000.00,5879000000.00,7262000000.00,7805000000.00,9720000000.00,12426000000.00,15821000000.00,12369000000.00,13239000000.00,16961000000.00,17876000000.00,20198000000.00,19451000000.00,13186000000.00,12822000000.00,14938000000.00,18735000000.00,17235000000.00,4961000000.00,251000000000.00,Asia
ST.INT.RCPT.CD,Rwanda,RWA,27000000.00,29000000.00,,,,67000000.00,148000000.00,177000000.00,224000000.00,223000000.00,224000000.00,298000000.00,337000000.00,364000000.00,376000000.00,427000000.00,443000000.00,496500000.00,547000000.00,635900024.40,212000000.00,5255400024.00,Africa
ST.INT.RCPT.CD,Samoa,WSM,,,,,70000000.00,73800003.05,88400001.53,102400001.50,111599998.50,115199996.90,123699996.90,134899993.90,148199996.90,137199996.90,147699996.90,142399993.90,148699996.90,167000000.00,192300003.10,206100006.10,23059999.47,2132659983.00,Oceania
ST.INT.RCPT.CD,San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,0.00,Europe
ST.INT.RCPT.CD,Sao Tome and Principe,STP,9900000.00,6200000.00,6900000.00,7400000.00,7700000.00,7300000.00,6700000.00,5000000.00,7700000.00,8300000.00,11100000.00,15900000.00,15000000.00,30900000.00,56100000.00,62500000.00,69100000.00,65900000.00,71900000.00,,,471500000.00,Africa
ST.INT.RCPT.CD,Saudi Arabia,SAU,,,,3418000000.00,,,,6907000000.00,6775000000.00,6744000000.00,7536000000.00,9317000000.00,8400000000.00,8690000000.00,9263000000.00,11183000000.00,13438000000.00,15020000000.00,16974000000.00,19849000000.00,5960000000.00,149000000000.00,Asia
ST.INT.RCPT.CD,Senegal,SEN,152000000.00,175000000.00,210000000.00,269000000.00,286000000.00,334000000.00,329000000.00,622000000.00,640000000.00,475000000.00,464000000.00,525000000.00,469000000.00,495000000.00,482000000.00,417000000.00,439000000.00,470000000.00,557000000.00,,,7810000000.00,Africa
ST.INT.RCPT.CD,Serbia,SRB,,,77000000.00,159000000.00,220000000.00,308000000.00,416000000.00,1018000000.00,1114000000.00,986000000.00,950000000.00,1149000000.00,1080000000.00,1221000000.00,1352000000.00,1322000000.00,1461000000.00,1706000000.00,1941000000.00,2000000000.00,1422000000.00,19902000000.00,Europe
ST.INT.RCPT.CD,Seychelles,SYC,225000000.00,221000000.00,247000000.00,258000000.00,256000000.00,269000000.00,323000000.00,396000000.00,408000000.00,349000000.00,352000000.00,380000000.00,429000000.00,484000000.00,481000000.00,483000000.00,505000000.00,585000000.00,611000000.00,618000000.00,228000000.00,8108000000.00,Africa
ST.INT.RCPT.CD,Sierra Leone,SLE,10000000.00,14000000.00,38000000.00,60000000.00,58000000.00,64000000.00,23000000.00,22000000.00,34000000.00,25000000.00,26000000.00,44000000.00,47000000.00,66000000.00,35000000.00,37000000.00,41000000.00,39000000.00,39000000.00,,,722000000.00,Africa
ST.INT.RCPT.CD,Singapore,SGP,5142000000.00,4641000000.00,4458000000.00,3842000000.00,5327000000.00,6209000000.00,7536000000.00,9066000000.00,10615000000.00,9225000000.00,14178000000.00,17929000000.00,18795000000.00,19231000000.00,19161000000.00,16617000000.00,18944000000.00,19891000000.00,20416000000.00,,,231000000000.00,Asia
ST.INT.RCPT.CD,Sint Maarten (Dutch part),SXM,,,,,,,,665000000.00,667000000.00,619000000.00,681000000.00,729000000.00,854000000.00,871000000.00,922000000.00,913000000.00,871000000.00,646000000.00,468000000.00,708000000.00,243000000.00,9857000000.00,Null
ST.INT.RCPT.CD,Slovakia,SVK,441000000.00,649000000.00,742000000.00,876000000.00,931000000.00,1282000000.00,1655000000.00,2352000000.00,3096000000.00,2541000000.00,2334000000.00,2515000000.00,2365000000.00,2702000000.00,2642000000.00,2480000000.00,2812000000.00,3024000000.00,3318000000.00,3350000000.00,1303000000.00,43410000000.00,Europe
