Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_arrivals_sum,continent
ST.INT.ARVL,Burundi,BDI,29000.00,36000.00,74000.00,74000.00,133000.00,148000.00,214000.00,192000.00,202000.00,212000.00,142000.00,144000.00,147000.00,234000.00,235000.00,131000.00,187000.00,299000.00,,,,2833000.00,Africa
ST.INT.ARVL,Cabo Verde,CPV,115000.00,134000.00,126000.00,150000.00,157000.00,198000.00,242000.00,267000.00,285000.00,287000.00,336000.00,428000.00,482000.00,503000.00,494000.00,520000.00,598000.00,668000.00,710000.00,758000.00,180000.00,7638000.00,Null
ST.INT.ARVL,Cambodia,KHM,466000.00,605000.00,787000.00,701000.00,1055000.00,1422000.00,1700000.00,2015000.00,2125000.00,2162000.00,2508000.00,2882000.00,3584000.00,4210000.00,4503000.00,4775000.00,5012000.00,5602000.00,6201000.00,6611000.00,1306000.00,60232000.00,Asia
ST.INT.ARVL,Cameroon,CMR,,,,,,,451000.00,477000.00,487000.00,498000.00,573000.00,604000.00,817000.00,783000.00,822000.00,897000.00,994000.00,1081000.00,997000.00,1021000.00,,10502000.00,Africa
ST.INT.ARVL,Canada,CAN,48638000.00,47147000.00,44896000.00,38903000.00,38845000.00,36160000.00,33390000.00,30373000.00,27370000.00,24696000.00,25621000.00,25066000.00,25318000.00,25167000.00,25558000.00,27555000.00,30142000.00,31081000.00,31274000.00,32430000.00,,649630000.00,North America
ST.INT.ARVL,Cayman Islands,CYM,1385000.00,1549000.00,1878000.00,2113000.00,1953000.00,1967000.00,2197000.00,2008000.00,1856000.00,1792000.00,1886000.00,1710000.00,1829000.00,1721000.00,1993000.00,2102000.00,2097000.00,2147000.00,2384000.00,2334000.00,660000.00,39561000.00,Null
ST.INT.ARVL,Central African Republic,CAF,11200.00,9900.00,2900.00,5700.00,8200.00,12000.00,13800.00,17100.00,30600.00,52400.00,53800.00,65400.00,70800.00,83500.00,95700.00,120500.00,82000.00,107000.00,109000.00,87000.00,,1038500.00,Africa
ST.INT.ARVL,Chad,TCD,43000.00,57000.00,32000.00,21000.00,26000.00,29000.00,46000.00,77000.00,61000.00,70000.00,71000.00,77000.00,86000.00,97000.00,119000.00,120000.00,98000.00,87000.00,63000.00,81000.00,10400.00,1371400.00,Africa
ST.INT.ARVL,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,Null
ST.INT.ARVL,Chile,CHL,,,,,,,,,3713000.00,3657000.00,3584000.00,3963000.00,4397000.00,4457000.00,4601000.00,5487000.00,6712000.00,7621000.00,6603000.00,5431000.00,,60226000.00,South America
ST.INT.ARVL,China,CHN,83444000.00,89013000.00,97908000.00,91662000.00,109038000.00,120292000.00,124942000.00,131873000.00,130027000.00,126476000.00,133762000.00,135423000.00,132405000.00,129078000.00,128499000.00,133820000.00,141774000.00,153260000.00,158606000.00,162538000.00,30402000.00,2544242000.00,Asia
ST.INT.ARVL,Colombia,COL,707000.00,788000.00,661000.00,668000.00,840000.00,981000.00,2096000.00,2381000.00,2545000.00,2649000.00,1701000.00,2356000.00,2434000.00,2595000.00,2866000.00,3371000.00,3675000.00,4056000.00,4397000.00,4531000.00,1396000.00,47694000.00,South America
