Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_departures_sum,continent
ST.INT.DPRT,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Estonia,EST,1800000,1658000,1849000,2075000,,,438000,677000,692000,752000,955000,1054000,1147000,1166000,1426000,1250000,1339000,1279000,2069000,1702000,558000,23886000,Europe
ST.INT.DPRT,Eswatini,SWZ,,,,,,1082000,1072000,1130000,1177000,1245000,1141000,1264000,1403000,1573000,1657000,1713000,1789000,1751000,1717000,1721000,488000,21923000,Null
ST.INT.DPRT,Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Fiji,FJI,83000,85000,99000,104000,94000,109000,121000,120000,124000,125000,128000,132000,132000,,,,156000,169000,174000,174000,,2129000,Oceania
ST.INT.DPRT,Finland,FIN,,,,,,6668000,6428000,6413000,6566000,6693000,7485000,8238000,9978000,9526000,9783000,10022000,10278000,10480000,10480000,10440000,2690000,132168000,Europe
ST.INT.DPRT,France,FRA,,,,,,,27107000,33144000,30960000,30646000,29973000,31153000,29642000,30457000,31941000,30608000,29636000,44265000,48069000,49276000,21287000,498164000,Europe
ST.INT.DPRT,French Polynesia,PYF,,,,,,,,,,88000,89000,84000,83000,,48000,55000,48000,55000,47000,63000,12000,672000,Null
ST.INT.DPRT,Gabon,GAB,168000,189000,219000,236000,,,,,,,,,,,,,,,,,,812000,Africa
ST.INT.DPRT,Gambia,GMB,,,,,,387000,307000,,,,,,,,,,,,,,,694000,Africa
ST.INT.DPRT,Georgia,GEO,315000,306000,317000,,466000,857000,1346000,1473000,1872000,1980000,2086000,2237000,2734000,3220000,3106000,3136000,3400000,3851000,3698000,3780000,,40180000,Europe
ST.INT.DPRT,Germany,DEU,80507000,81551000,80393000,85345000,84859000,86622000,81801000,82099000,86201000,85547000,85872000,84692000,82729000,87459000,83008000,83737000,90966000,92402000,108542000,99533000,,1733865000,Europe
ST.INT.DPRT,Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Greece,GRC,,,,,,,,,3765000,3835000,3799000,4941000,4681000,4594000,5802000,6291000,7235000,7685000,7961000,7848000,2324000,70761000,Europe
ST.INT.DPRT,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,0,North America
ST.INT.DPRT,Guam,GUM,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Guatemala,GTM,488000,580000,629000,658000,854000,982000,1055000,1168000,1277000,651000,694000,718000,721000,846000,992000,1130000,1195000,1328000,1538000,1703000,507799.99,19714799.99,North America
ST.INT.DPRT,Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,0,South America
ST.INT.DPRT,Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,0,North America
ST.INT.DPRT,Honduras,HND,,,,,,,,,,,1090000,1092000,1072000,1055000,1065000,1150000,1121000,727000,703000,,,9075000,North America
ST.INT.DPRT,"Hong Kong SAR, China",HKG,58901000,61096000,64540000,60936000,68903000,72300000,75812000,80682000,81911000,81958000,84442000,84816000,85276000,84414000,84519000,89082000,91758000,91304000,92214000,94715000,8261000,1597840000,Null
ST.INT.DPRT,Hungary,HUN,11065000,11167000,12966000,14283000,17558000,17759000,16597000,17056000,17162000,16640000,16082000,16634000,16143000,16038000,16340000,17276000,18895000,20297000,22805000,24860000,12727000,350350000,Europe
ST.INT.DPRT,Iceland,ISL,283000,,,,,364000,440000,460000,414000,259000,299000,341000,358000,365000,400000,450000,536000,619000,668000,611000,130000,6997000,Europe
ST.INT.DPRT,India,IND,4416000,4564000,4940000,5351000,6213000,7185000,8340000,9783000,10868000,11067000,12988000,13994000,14920000,16626000,18330000,20376000,21872000,23943000,26296000,26915000,,268987000,Asia
ST.INT.DPRT,Indonesia,IDN,2205000,2505000,3231000,3478000,3941000,4106000,4967000,5158000,5486000,5053000,6235000,6750000,7454000,8025000,8074000,8176000,8340000,8856000,9468000,11689000,2918000,126115000,Asia
ST.INT.DPRT,Iran,IRN,,,,,,,,,,,,,,,7698000,6620000,9007000,10543000,7243000,,1550000,42661000,Asia
ST.INT.DPRT,Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Ireland,IRL,3783000,4216000,4634000,4929000,5409000,6113000,6848000,7713000,7877000,7047000,6917000,6514000,6600000,6579000,6676000,7094000,7646000,8171000,8643000,9350000,2326000,135085000,Europe
ST.INT.DPRT,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Israel,ISR,3530000,3561000,3273000,3299000,3614000,3687000,3713000,4147000,4207000,4007000,4269000,4387000,4349000,4757000,5181000,5891000,6781000,7597000,8473000,9179000,,97902000,Asia
ST.INT.DPRT,Italy,ITA,44628000,43611000,44660000,46357000,40400000,43407000,46369000,49166000,54421000,54839000,55304000,52617000,53338000,52633000,55169000,57418000,57480000,60042000,61194601.56,62207000,21448000,1056708602,Europe
ST.INT.DPRT,Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,0,North America
ST.INT.DPRT,Japan,JPN,17819000,16216000,16523000,13296000,16831000,17404000,17535000,17295000,15987000,15446000,16637000,16994000,18491000,17473000,16903000,16214000,17116000,17889000,18954000,20081000,3174000,344278000,Asia
ST.INT.DPRT,Jordan,JOR,1625000,1755000,1276000,1229000,1420000,1523000,2139000,2094000,1972000,2054000,2708000,1931000,1567000,1498000,1230000,,1511000,1592000,1501000,1537000,406000,32568000,Asia
ST.INT.DPRT,Kazakhstan,KAZ,,,,,,,3688000,4544000,4330000,5423000,6019000,8020000,9066000,10144000,10450000,11303000,9756000,10261000,10646000,10707000,2865000,117222000,Asia
ST.INT.DPRT,Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,0,Oceania
ST.INT.DPRT,North Korea,PRK,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,South Korea,KOR,5508000,6084000,7123000,7086000,8826000,10080000,11610000,13325000,11996000,9494000,12488000,12694000,13737000,14846000,16081000,19310000,22383000,26496000,28696000,28714000,4276000,290853000,Asia
ST.INT.DPRT,Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Kuwait,KWT,1236000,1666000,1725000,1774000,1928000,2173000,2529000,2649000,,,,,,,,,,,,,,15680000,Asia
ST.INT.DPRT,Kyrgyzstan,KGZ,,,,,,,,,2273000,2354000,1342000,3061000,3621000,3993000,3790000,4008000,4185000,4446000,6839000,5314000,,45226000,Asia
ST.INT.DPRT,Laos,LAO,,,,,,,,,,,1686000,1788000,2052000,2857000,3320000,3067000,3059000,3049000,3207000,2690000,707000,27482000,Asia
ST.INT.DPRT,Latvia,LVA,2596000,2697000,2306000,2286000,2457000,2959000,3151000,3398000,3782000,3268000,3332000,3257000,1830000,1776000,1846000,1720000,1939000,2055000,2175000,2384000,690000,51904000,Europe
ST.INT.DPRT,Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Libya,LBY,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,0,Europe
ST.INT.DPRT,Lithuania,LTU,,,,,,,4362000,3627000,3847000,3639000,4311000,4020000,4108000,4228000,4292000,3981000,4143000,4294000,4702000,4881000,1643000,60078000,Europe
ST.INT.DPRT,Luxembourg,LUX,950000,923000,1049000,1021000,1100000,1185000,1084000,1132000,1190000,1362000,1237000,1643000,1580000,1624000,1815000,1702000,1588000,2346000,2510000,2548000,1460000,31049000,Europe
ST.INT.DPRT,"Macao SAR, China",MAC,,,,,,629000,645000,599000,606000,671000,753000,908000,1291000,1446000,1537000,1466000,1251000,1391000,1780000,1765000,125000,16863000,Null
ST.INT.DPRT,Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Malaysia,MYS,30532000,36248000,29866000,32201000,30761000,,,,,,,,,,,,,,,,,159608000,Asia
ST.INT.DPRT,Maldives,MDV,42000,41000,43000,44000,61000,77000,74000,102000,123000,,,,,,,,,,,,,607000,Asia
ST.INT.DPRT,Mali,MLI,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Malta,MLT,,,,,,,,,292000,292000,328000,348000,368000,404000,430000,456000,550000,633000,728000,774000,218000,5821000,Europe
ST.INT.DPRT,Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,0,Oceania
ST.INT.DPRT,Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Mauritius,MUS,163000,161000,162000,161000,180000,183000,186000,213000,226000,196000,212000,219000,237000,228000,223000,242000,260000,283000,296000,320000,65000,4416000,Africa
ST.INT.DPRT,Mexico,MEX,127268000,123732000,124633000,123015000,128903000,128392000,122022000,109540000,107519000,98228000,91658000,88113000,87332000,90787000,90982000,94988000,97372000,94274000,86280000,82752000,36056000,2133846000,North America
ST.INT.DPRT,"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Moldova,MDA,,,,,,,,,,93300,117200,136100.01,146800,157600.01,180600.01,189800,177000,229000,264000,311000,75000,2077400.02,Europe
ST.INT.DPRT,Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,0,Europe
ST.INT.DPRT,Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,0,Europe
ST.INT.DPRT,Morocco,MAR,1508000,1701000,1533000,1612000,1603000,2247000,2135000,2669000,3421000,2293000,2175000,2378000,2323000,2195000,1850000,1910000,1864000,1849000,1923000,2009000,646000,41844000,Africa
ST.INT.DPRT,Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,0,Oceania
ST.INT.DPRT,Nepal,NPL,155000,200000,238000,258000,286000,373000,415000,469000,561000,589000,765000,774000,862000,983000,,,,1197000,,,,8125000,Asia
ST.INT.DPRT,Netherlands,NLD,13896000,14214000,16719000,16425000,17130000,17039000,16695000,17523000,18399000,18340000,18368000,18560000,18628000,18094000,17928000,17535000,18152000,20763000,20981000,22045000,,357434000,Europe
ST.INT.DPRT,New Caledonia,NCL,69000,68000,72000,78000,89000,96000,100000,106000,112000,119000,132000,124000,121000,121000,124000,127000,134000,135000,139000,144000,48000,2258000,Null
ST.INT.DPRT,New Zealand,NZL,1283000,1287000,1293000,1374000,1733000,1872000,1861000,1978000,1967000,1918000,2026000,2096000,2172000,2197000,2276000,2412000,2611000,2853000,3038000,3225000,511000,41983000,Oceania
ST.INT.DPRT,Nicaragua,NIC,486000,499000,532000,562000,701000,740000,773000,949000,942000,858000,908000,912000,979000,994000,959000,925000,981000,982000,974000,949000,325000,16930000,North America
ST.INT.DPRT,Niger,NER,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,0,Null
