Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum,continent
ST.INT.XPND.CD,Morocco,MAR,506000000.00,589000000.00,669000000.00,845000000.00,912000000.00,999000000.00,1113000000.00,1418000000.00,1910000000.00,1713000000.00,1879000000.00,2260000000.00,2095000000.00,2002000000.00,2273000000.00,2155000000.00,2312000000.00,2829000000.00,2987000000.00,3102000000.00,1509000000.00,36077000000.00,Africa
ST.INT.XPND.CD,Mozambique,MOZ,122000000.00,132000000.00,115000000.00,141000000.00,140000000.00,187000000.00,196000000.00,209000000.00,241000000.00,247000000.00,247000000.00,264000000.00,247000000.00,313000000.00,331000000.00,322000000.00,290000000.00,237000000.00,135000000.00,99000000.00,95000000.00,4310000000.00,Africa
ST.INT.XPND.CD,Myanmar,MMR,30000000.00,32000000.00,34000000.00,36000000.00,32000000.00,34000000.00,40000000.00,39000000.00,49700000.76,,,132000000.00,265000000.00,131000000.00,119000000.00,146000000.00,201000000.00,136000000.00,118000000.00,214000000.00,,1788700001.00,Asia
ST.INT.XPND.CD,Namibia,NAM,,,,,,,,,,40000000.00,42000000.00,55000000.00,53000000.00,47000000.00,67000000.00,71000000.00,82000000.00,92000000.00,69000000.00,118000000.00,77000000.00,813000000.00,Africa
ST.INT.XPND.CD,Nauru,NRU,,,,,,,,,1500000.00,2500000.00,2900000.00,2900000.00,1900000.00,4300000.00,10700000.00,6400000.00,10000000.00,9000000.00,7100000.00,,,59200000.00,Oceania
ST.INT.XPND.CD,Nepal,NPL,109000000.00,128000000.00,108000000.00,119000000.00,205000000.00,221000000.00,261000000.00,402000000.00,545000000.00,572000000.00,528000000.00,420000000.00,562000000.00,598000000.00,680000000.00,669000000.00,634000000.00,886000000.00,915000000.00,713000000.00,267000000.00,9542000000.00,Asia
ST.INT.XPND.CD,Netherlands,NLD,13649000000.00,13061000000.00,14201000000.00,15887000000.00,16937000000.00,,,,,,,,20094000000.00,21009000000.00,23655000000.00,20234000000.00,20188800781.00,22301099609.00,23359300781.00,22547400391.00,7435700195.00,255000000000.00,Europe
ST.INT.XPND.CD,New Caledonia,NCL,,,,,,,,,354000000.00,330000000.00,343000000.00,356000000.00,336000000.00,333000000.00,328000000.00,253000000.00,252000000.00,,,,,2885000000.00,Null
ST.INT.XPND.CD,New Zealand,NZL,1235000000.00,1255000000.00,1386000000.00,1649000000.00,2229000000.00,2671000000.00,2535000000.00,3077000000.00,3006000000.00,2580000000.00,3039000000.00,3461000000.00,3715000000.00,3861000000.00,4108000000.00,3721000000.00,4010000000.00,4463000000.00,4603000000.00,,,56604000000.00,Oceania
ST.INT.XPND.CD,Nicaragua,NIC,126000000.00,128000000.00,125000000.00,139000000.00,154000000.00,162000000.00,224000000.00,238000000.00,265000000.00,256000000.00,225000000.00,240000000.00,241000000.00,277000000.00,286000000.00,273000000.00,310000000.00,365000000.00,349000000.00,312000000.00,102000000.00,4797000000.00,North America
ST.INT.XPND.CD,Niger,NER,32000000.00,33000000.00,29000000.00,39000000.00,42000000.00,42000000.00,42000000.00,48000000.00,98000000.00,84000000.00,95000000.00,57000000.00,132000000.00,81000000.00,129000000.00,140000000.00,110000000.00,120000000.00,141000000.00,144500000.00,,1638500000.00,Africa
ST.INT.XPND.CD,Nigeria,NGA,610000000.00,858000000.00,910000000.00,2076000000.00,,501000000.00,3536000000.00,6665000000.00,11007000000.00,6236000000.00,8348000000.00,9533000000.00,9240000000.00,9152000000.00,9204000000.00,9017000000.00,4524000000.00,8194000000.00,13218000000.00,16406000000.00,6613000000.00,136000000000.00,Africa
ST.INT.XPND.CD,North Macedonia,MKD,58000000.00,60000000.00,60000000.00,71000000.00,85000000.00,97000000.00,110000000.00,147000000.00,190000000.00,150000000.00,131000000.00,159000000.00,153000000.00,168000000.00,186000000.00,189000000.00,204000000.00,233000000.00,282000000.00,302000000.00,153000000.00,3188000000.00,Null
ST.INT.XPND.CD,Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,0.00,Null
ST.INT.XPND.CD,Norway,NOR,4893000000.00,4718000000.00,5610000000.00,7089000000.00,8894000000.00,10400000000.00,11273000000.00,13256000000.00,15118000000.00,13221000000.00,14658000000.00,16958000000.00,18131000000.00,20116000000.00,20166000000.00,16485000000.00,16384000000.00,17489000000.00,18307000000.00,17683000000.00,4230000000.00,275000000000.00,Europe
ST.INT.XPND.CD,Oman,OMN,629000000.00,703000000.00,702000000.00,804000000.00,823000000.00,863000000.00,894000000.00,952000000.00,1197000000.00,1295000000.00,1243000000.00,1493000000.00,1644000000.00,1824000000.00,2081000000.00,2208000000.00,2643000000.00,2915000000.00,3210000000.00,3406000000.00,1236000000.00,32765000000.00,Asia
ST.INT.XPND.CD,Pakistan,PAK,574000000.00,555000000.00,491000000.00,1163000000.00,1612000000.00,1753000000.00,2029000000.00,2075000000.00,2163000000.00,1098000000.00,1370000000.00,1857000000.00,1851000000.00,1638000000.00,2209000000.00,2642000000.00,2931000000.00,3316000000.00,2959000000.00,2998000000.00,1245000000.00,38529000000.00,Asia
ST.INT.XPND.CD,Palau,PLW,11500000.00,14100000.38,18200000.76,16399999.62,18200000.76,18000000.00,17399999.62,17100000.38,19100000.38,16100000.38,15199999.81,17000000.00,19399999.62,18500000.00,17200000.76,21899999.62,23799999.24,23299999.24,,,,322400000.60,Oceania
ST.INT.XPND.CD,Panama,PAN,241000000.00,227000000.00,252000000.00,267000000.00,294000000.00,388000000.00,403000000.00,457000000.00,560000000.00,503000000.00,575000000.00,679000000.00,591000000.00,1078000000.00,1147000000.00,1272000000.00,1351000000.00,1132000000.00,1395000000.00,1623000000.00,601000000.00,15036000000.00,North America
ST.INT.XPND.CD,Papua New Guinea,PNG,,,,52000000.00,71900001.53,56200000.76,43000000.00,81000000.00,75000000.00,132000000.00,138000000.00,186000000.00,203000000.00,214000000.00,168000000.00,135000000.00,126599998.50,168600006.10,134000000.00,,,1984300007.00,Oceania
ST.INT.XPND.CD,Paraguay,PRY,154000000.00,130000000.00,117000000.00,115000000.00,121000000.00,130000000.00,144000000.00,184000000.00,214000000.00,231000000.00,261000000.00,308000000.00,363000000.00,425000000.00,448000000.00,494000000.00,512000000.00,545000000.00,549000000.00,552000000.00,226000000.00,6223000000.00,South America
ST.INT.XPND.CD,Peru,PER,641000000.00,773000000.00,806000000.00,847000000.00,852000000.00,970000000.00,1047000000.00,1243000000.00,1432000000.00,1404000000.00,1648000000.00,1768000000.00,1900000000.00,2105000000.00,2118000000.00,2539000000.00,2700000000.00,2893000000.00,3353000000.00,3627399902.00,938000000.00,35604399902.00,South America
ST.INT.XPND.CD,Philippines,PHL,1841000000.00,1918000000.00,1874000000.00,1649000000.00,1526000000.00,3286000000.00,3075000000.00,3351000000.00,4285000000.00,4056000000.00,5964000000.00,6055000000.00,7140000000.00,8400000000.00,11130000000.00,11868000000.00,11681000000.00,12442000000.00,12474000000.00,12926000000.00,4872000000.00,132000000000.00,Asia
ST.INT.XPND.CD,Poland,POL,3417000000.00,3595000000.00,3440000000.00,3286000000.00,5086000000.00,5887000000.00,7645000000.00,8339000000.00,10683000000.00,7883000000.00,8888000000.00,8672000000.00,8911000000.00,8916000000.00,9177000000.00,8285000000.00,8509000000.00,9420000000.00,10367000000.00,10161000000.00,5547000000.00,156000000000.00,Europe
ST.INT.XPND.CD,Portugal,PRT,2754000000.00,2606000000.00,2635000000.00,2983000000.00,3370000000.00,3742000000.00,4144000000.00,4867000000.00,5284000000.00,4609000000.00,4692000000.00,4951000000.00,4482000000.00,4882000000.00,5213000000.00,4576000000.00,4707000000.00,5509000000.00,6427000000.00,6823000000.00,3536000000.00,92792000000.00,Europe
ST.INT.XPND.CD,Puerto Rico,PRI,1333000000.00,1456000000.00,1319000000.00,1420000000.00,1584000000.00,1663000000.00,1752000000.00,1743000000.00,1761000000.00,1388000000.00,1182000000.00,1202000000.00,1162000000.00,1142000000.00,1094000000.00,983000000.00,1059000000.00,1072000000.00,893000000.00,,,25208000000.00,Null
ST.INT.XPND.CD,Qatar,QAT,,,,,,,,,,,,7813000000.00,10702000000.00,11729000000.00,12871000000.00,11641000000.00,13152000000.00,12284000000.00,11754000000.00,12528000000.00,11504000000.00,116000000000.00,Asia
ST.INT.XPND.CD,Romania,ROU,447000000.00,475000000.00,448000000.00,572000000.00,672000000.00,1071000000.00,1457000000.00,1723000000.00,2407000000.00,1766000000.00,1897000000.00,2294000000.00,2108000000.00,2125000000.00,2741000000.00,2526000000.00,2910000000.00,4955000000.00,6109000000.00,7172000000.00,3472000000.00,49347000000.00,Europe
ST.INT.XPND.CD,Russia,RUS,,9760000000.00,11362000000.00,13427000000.00,16082000000.00,17963000000.00,18850000000.00,22456000000.00,26401000000.00,23785000000.00,30169000000.00,37343000000.00,48096000000.00,59504000000.00,55383000000.00,38432000000.00,27654000000.00,35584000000.00,38791000000.00,40611000000.00,10800000000.00,582000000000.00,Asia
ST.INT.XPND.CD,Rwanda,RWA,35000000.00,33000000.00,,,,75000000.00,84000000.00,98000000.00,146000000.00,148000000.00,120000000.00,142000000.00,133000000.00,126000000.00,133000000.00,350000000.00,364000000.00,419000000.00,390000000.00,382799987.80,127000000.00,3305799988.00,Africa
ST.INT.XPND.CD,Samoa,WSM,,,,,11899999.62,20299999.24,21200000.76,19799999.24,21600000.38,20000000.00,25200000.76,22299999.24,22299999.24,13899999.62,4099999.91,2900000.10,2099999.91,3900000.10,4099999.91,5199999.81,1799999.95,222599997.80,Oceania
ST.INT.XPND.CD,San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,0.00,Europe
ST.INT.XPND.CD,Sao Tome and Principe,STP,2200000.05,2000000.00,1799999.95,1799999.95,2099999.91,500000.00,1100000.02,699999.99,310000.00,410000.00,550000.01,1350000.02,3200000.05,,,,,,,,,18019999.95,Africa
ST.INT.XPND.CD,Saudi Arabia,SAU,,,7370000000.00,4165000000.00,,,,21031000000.00,16005000000.00,21312000000.00,22076000000.00,18202000000.00,17986000000.00,18648000000.00,25137000000.00,20366000000.00,17671000000.00,19065000000.00,17939000000.00,16415000000.00,9069000000.00,272000000000.00,Asia
ST.INT.XPND.CD,Senegal,SEN,125000000.00,112000000.00,112000000.00,129000000.00,138000000.00,144000000.00,139000000.00,352000000.00,277000000.00,260000000.00,217000000.00,250000000.00,248000000.00,265000000.00,280000000.00,261000000.00,277000000.00,295000000.00,324000000.00,,,4205000000.00,Africa
ST.INT.XPND.CD,Serbia,SRB,,,105000000.00,144000000.00,208000000.00,260000000.00,322000000.00,1203000000.00,1448000000.00,1105000000.00,1103000000.00,1263000000.00,1188000000.00,1290000000.00,1360000000.00,1254000000.00,1351000000.00,1549000000.00,1837000000.00,2000000000.00,1179000000.00,20169000000.00,Europe
ST.INT.XPND.CD,Seychelles,SYC,44000000.00,41000000.00,53000000.00,54000000.00,53000000.00,59000000.00,56000000.00,73000000.00,64000000.00,56000000.00,63000000.00,65000000.00,58000000.00,62000000.00,65000000.00,54000000.00,92000000.00,104000000.00,101000000.00,109000000.00,39000000.00,1365000000.00,Africa
ST.INT.XPND.CD,Sierra Leone,SLE,34500000.00,42200000.76,39099998.47,37799999.24,30299999.24,33599998.47,15000000.00,17000000.00,24399999.62,26000000.00,22000000.00,26000000.00,32000000.00,71000000.00,45000000.00,34000000.00,36500000.00,62000000.00,61000000.00,83000000.00,,772399995.80,Africa
ST.INT.XPND.CD,Singapore,SGP,4535000000.00,6600000000.00,8212000000.00,8382000000.00,9291000000.00,10070000000.00,11268000000.00,13503000000.00,16340000000.00,15704000000.00,18700000000.00,21420000000.00,23139000000.00,24407000000.00,25547000000.00,23658000000.00,23957000000.00,24588000000.00,25346000000.00,,,315000000000.00,Asia
ST.INT.XPND.CD,Sint Maarten (Dutch part),SXM,,,,,,,,83400001.53,88099998.47,104000000.00,105000000.00,112000000.00,120000000.00,114000000.00,117000000.00,118000000.00,114000000.00,100000000.00,77000000.00,77000000.00,21000000.00,1350500000.00,Null
ST.INT.XPND.CD,Slovakia,SVK,341000000.00,340000000.00,506000000.00,662000000.00,900000000.00,1122000000.00,1230000000.00,1825000000.00,2671000000.00,2251000000.00,2146000000.00,2450000000.00,2309000000.00,2523000000.00,2582000000.00,2266000000.00,2420000000.00,2599000000.00,2823000000.00,2811000000.00,1291000000.00,38068000000.00,Europe
ST.INT.XPND.CD,Slovenia,SVN,544000000.00,560000000.00,647000000.00,805000000.00,937000000.00,1019000000.00,1059000000.00,1260000000.00,1611000000.00,1771000000.00,1642000000.00,1727000000.00,1508000000.00,1559000000.00,1646000000.00,1370000000.00,1483800049.00,1641099976.00,1864300049.00,1771699951.00,855799987.80,27281700012.00,Europe
ST.INT.XPND.CD,Solomon Islands,SLB,12199999.81,10500000.00,8500000.00,6400000.10,12300000.19,11199999.81,26500000.00,35599998.47,40500000.00,37799999.24,51200000.76,66000000.00,68099998.47,68300003.05,65599998.47,60700000.76,74900001.53,72699996.95,53000000.00,62500000.00,30909999.85,875409997.50,Oceania
ST.INT.XPND.CD,Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,0.00,Africa
ST.INT.XPND.CD,South Africa,ZAF,2684000000.00,2366000000.00,2251000000.00,3655000000.00,4237000000.00,4812000000.00,5230000000.00,6104000000.00,6905000000.00,6421000000.00,8139000000.00,8397000000.00,7145000000.00,6491000000.00,6314000000.00,5734000000.00,5354000000.00,6068000000.00,6348000000.00,5866000000.00,1594000000.00,112000000000.00,Africa
ST.INT.XPND.CD,South Sudan,SSD,,,,,,,,,,,,,,,239000000.00,759000000.00,323000000.00,293000000.00,513000000.00,,469000000.00,2596000000.00,Africa
ST.INT.XPND.CD,Spain,ESP,,,,,,,,,,,,,,,,,,,,,,0.00,Europe
ST.INT.XPND.CD,Sri Lanka,LKA,383000000.00,402000000.00,438000000.00,462000000.00,499000000.00,552000000.00,666000000.00,709000000.00,777000000.00,735000000.00,828000000.00,926000000.00,1219000000.00,1808000000.00,1922000000.00,2152000000.00,2295000000.00,2409000000.00,2487000000.00,2436000000.00,803000000.00,24908000000.00,Asia
ST.INT.XPND.CD,St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,51000000.00,52000000.00,51000000.00,56000000.00,56000000.00,60000000.00,18000000.00,344000000.00,Null
ST.INT.XPND.CD,St. Lucia,LCA,,,,,,,,,,,,,,,66000000.00,76000000.00,78000000.00,84000000.00,85000000.00,92000000.00,28000000.00,509000000.00,Null
ST.INT.XPND.CD,St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,0.00,Null
ST.INT.XPND.CD,St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,34000000.00,40000000.00,41000000.00,38000000.00,40000000.00,40000000.00,13000000.00,246000000.00,Null
